"pathway","ligand"
"PDGF","PDGFB"
"PDGF","PDGFC"
"PDGF","PDGFD"
"VEGF","VEGFA"
"VEGF","VEGFB"
"VEGF","VEGFC"
"VEGF","VEGFD"
"VEGF","PGF"
"IGF","IGF1"
"IGF","IGF2"
"IGF","IGFL3"
"INSULIN","INS"
"APELIN","APLN"
"HH","DHH"
"HH","IHH"
"HH","SHH"
"CCL","CCL5"
"CCL","CCL3"
"CCL","CCL3L1"
"CCL","CCL3L3"
"CCL","CCL8"
"CCL","CCL7"
"CCL","CCL13"
"CCL","CCL14"
"CCL","CCL15"
"CCL","CCL16"
"CCL","CCL23"
"CCL","CCL2"
"CCL","CCL27"
"CCL","CCL11"
"CCL","CCL24"
"CCL","CCL26"
"CCL","CCL28"
"CCL","CCL17"
"CCL","CCL22"
"CCL","CCL4"
"CCL","CCL20"
"CCL","CCL19"
"CCL","CCL21"
"CCL","CCL1"
"CCL","CCL25"
"CCL","CCL18"
"CXCL","CXCL1"
"CXCL","CXCL2"
"CXCL","CXCL3"
"CXCL","CXCL5"
"CXCL","CXCL6"
"CXCL","CXCL8"
"CXCL","CXCL9"
"CXCL","CXCL10"
"CXCL","CXCL11"
"CXCL","CXCL13"
"CXCL","PPBP"
"CXCL","PF4V1"
"CXCL","PF4"
"CXCL","CXCL12"
"CXCL","CXCL16"
"MIF","MIF"
"CX3C","CX3CL1"
"XCR","XCL1"
"XCR","XCL2"
"IL2","IL2"
"IL2","IL4"
"IL2","IL7"
"IL2","IL9"
"IL2","IL15"
"IL2","IL21"
"IL2","TSLP"
"IL4","IL3"
"IL4","IL5"
"IL4","CSF2"
"IL4","IL13"
"IL6","IL6"
"IL6","IL11"
"IL12","IL12AB"
"IL12","IL23 complex"
"IL12","IL27 complex"
"IL6","IL31"
"LIFR","CNTF"
"LIFR","CLCF1"
"LIFR","CTF1"
"LIFR","LIF"
"OSM","OSM"
"IL10","IL10"
"IL10","IL19"
"IL10","IL20"
"IL10","IL24"
"IL10","IL22"
"IL10","IL26"
"IL1","IL1A"
"IL1","IL1B"
"IL1","IL36RN"
"IL1","IL36A"
"IL1","IL36B"
"IL1","IL36G"
"IL1","IL1F10"
"IL1","IL37"
"IL1","IL18"
"IL1","IL33"
"IL17","IL17A"
"IL17","IL17F"
"IL17","IL17AF"
"IL17","IL17B"
"IL17","IL17C"
"IL17","IL25"
"CSF","IL34"
"CSF","CSF1"
"IL16","IL16"
"EPO","EPO"
"GH","GH1"
"PRL","PRL"
"THPO","THPO"
"CSF3","CSF3"
"IFN-I","IFNB1"
"IFN-I","IFNW1"
"IFN-I","IFNK"
"IFN-I","IFNE"
"IFN-I","IFNA1"
"IFN-I","IFNA2"
"IFN-I","IFNA4"
"IFN-I","IFNA5"
"IFN-I","IFNA6"
"IFN-I","IFNA7"
"IFN-I","IFNA8"
"IFN-I","IFNA10"
"IFN-I","IFNA13"
"IFN-I","IFNA14"
"IFN-I","IFNA16"
"IFN-I","IFNA17"
"IFN-I","IFNA21"
"IFN-II","IFNG"
"TNF","TNF"
"LT","LTA"
"LT","LTa1b2"
"LIGHT","TNFSF14"
"FASLG","FASLG"
"VEGI","TNFSF15"
"TRAIL","TNFSF10"
"EDA","EDA"
"NGF","NGF"
"NGF","KLK3"
"RANKL","TNFSF11"
"TWEAK","TNFSF12"
"CD70","CD70"
"CD30","TNFSF8"
"CD137","TNFSF9"
"OX40","TNFSF4"
"GITRL","TNFSF18"
"APRIL","TNFSF13"
"BAFF","TNFSF13B"
"CD40","CD40LG"
"SPP1","SPP1"
"ADIPONECTIN","ADIPOQ"
"RESISTIN","RETN"
"VISFATIN","NAMPT"
"ANGPTL","ANGPTL1"
"ANGPTL","ANGPTL2"
"ANGPTL","ANGPTL7"
"ANGPTL","ANGPTL4"
"ANGPTL","ANGPTL3"
"ANGPT","ANGPT1"
"ANGPT","ANGPT2"
"MK","MDK"
"PTN","PTN"
"PERIOSTIN","POSTN"
"AGT","AGT"
"GPR","GRP"
"GPR","NMB"
"BRADYKININ","KNG1"
"COMPLEMENT","C3"
"COMPLEMENT","C4A"
"COMPLEMENT","C5"
"CCK","CCK"
"EDN","EDN1"
"EDN","EDN2"
"EDN","EDN3"
"GALANIN","GAL"
"GALANIN","GALP"
"GHRELIN","GHRL"
"KISS1","KISS1"
"MELANOCORTIN","POMC"
"NMU","NMU"
"NMU","NMS"
"NPFF","NPFF"
"NPY","NPY"
"NPY","PPY"
"NPY","PYY"
"NPW-B","NPB"
"NPW-B","NPW"
"NTS","NTS"
"OPIOID","PDYN"
"OPIOID","PENK"
"HCRT","HCRT"
"OXT","OXT"
"SEMATOSTATIN","SST"
"SEMATOSTATIN","CORT"
"TAC","TAC1"
"TAC","TAC4"
"TAC","TAC3"
"UTS2","UTS2"
"AVP","AVP"
"PRLH","PRLH"
"PARs","PRSS3"
"PARs","CTSG"
"PARs","F2"
"PARs","PLG"
"PARs","GZMA"
"PARs","PRSS2"
"PARs","PRSS1"
"PMCH","PMCH"
"PROK","PROK1"
"PROK","PROK2"
"PACAP","ADCYAP1"
"VIP","VIP"
"NPR1","NPPA"
"NPR1","NPPB"
"NPR2","NPPC"
"KIT","KITLG"
"GIPR","GCG"
"GIPR","GIP"
"FSH","FSHB"
"FSH","CGA"
"LHB","LHB"
"TSH","TSHB"
"NT","BDNF"
"FLT3","FLT3LG"
"HGF","HGF"
"NT","NTF3"
"NT","NTF4"
"SEMA3","SEMA3A"
"SEMA3","SEMA3B"
"SEMA3","SEMA3C"
"SEMA3","SEMA3D"
"SEMA3","SEMA3F"
"SEMA3","SEMA3G"
"SEMA3","SEMA3E"
"CALCR","ADM"
"ANNEXIN","ANXA1"
"APJ","APELA"
"CALCR","CALCA"
"CALCR","CALCB"
"CRH","CRH"
"ENHO","ENHO"
"GAS","GAS6"
"GHRH","GHRH"
"GNRH","GNRH1"
"GRN","GRN"
"GUCA","GUCA2A"
"GUCA","GUCA2B"
"CALCR","IAPP"
"RLN","INSL3"
"RLN","INSL5"
"LEP","LEP"
"GALECTIN","LGALS9"
"NPS","NPS"
"NPVF","NPVF"
"OSTN","OSTN"
"PROS","PROS1"
"PSAP","PSAP"
"PTH","PTH"
"PTH","PTH2"
"PTH","PTHLH"
"QRFP","QRFP"
"CHEMERIN","RARRES2"
"RLN","RLN1"
"RLN","RLN3"
"SAA","SAA1"
"UGRP1","SCGB3A2"
"SCT","SCT"
"SLURP","SLURP1"
"SLURP","SLURP2"
"BTLA","BTLA"
"TRH","TRH"
"UCN","UCN"
"UCN","UCN2"
"UCN","UCN3"
"UROTENSIN","UTS2B"
"BAG","BAG6"
"COLLAGEN","COL1A1"
"COLLAGEN","COL1A2"
"COLLAGEN","COL2A1"
"COLLAGEN","COL4A1"
"COLLAGEN","COL4A2"
"COLLAGEN","COL4A3"
"COLLAGEN","COL4A4"
"COLLAGEN","COL4A5"
"COLLAGEN","COL4A6"
"COLLAGEN","COL6A1"
"COLLAGEN","COL6A2"
"COLLAGEN","COL6A3"
"COLLAGEN","COL6A5"
"COLLAGEN","COL6A6"
"COLLAGEN","COL9A1"
"COLLAGEN","COL9A2"
"COLLAGEN","COL9A3"
"FN1","FN1"
"LAMININ","LAMA1"
"LAMININ","LAMA2"
"LAMININ","LAMA3"
"LAMININ","LAMA4"
"LAMININ","LAMA5"
"LAMININ","LAMB1"
"LAMININ","LAMB2"
"LAMININ","LAMB3"
"LAMININ","LAMC1"
"LAMININ","LAMC2"
"LAMININ","LAMC3"
"CHAD","CHAD"
"RELN","RELN"
"THBS","THBS1"
"THBS","THBS2"
"THBS","THBS3"
"THBS","THBS4"
"THBS","COMP"
"VTN","VTN"
"TENASCIN","TNC"
"TENASCIN","TNR"
"TENASCIN","TNN"
"TENASCIN","TNXB"
"NPNT","Npnt complex 1"
"NPNT","Npnt complex 2"
"DSPP","DSPP"
"VWF","VWF"
"BSP","IBSP"
"DMP1","DMP1"
"AGRN","AGRN"
"HSPG","HSPG2"
"ADGRE5","ADGRE5"
"ALCAM","ALCAM"
"APP","APP"
"CADM","CADM1"
"CADM","CADM3"
"CD22","CD22"
"CD226","CD226"
"CD23","FCER2"
"CD34","CD34"
"CD39","ENTPD1"
"CD45","PTPRC"
"CD46","CD46"
"CD48","CD48"
"CD6","CD6"
"CD80","CD80"
"CD86","CD86"
"CD96","CD96"
"CD99","CD99"
"CDH","CDH15"
"CDH","CDH4"
"CDH","CDH2"
"CDH","CDH1"
"CDH5","CDH5"
"CEACAM","CD1D"
"CEACAM","CD209"
"CEACAM","CD8A"
"CEACAM","CEACAM1"
"CEACAM","SELE"
"CLDN","CLDN11"
"CLEC","CLEC2D"
"CLEC","CLEC2A"
"CLEC","CLEC2B"
"CLEC","CD69"
"CLEC","CLEC2L"
"CLEC","CLEC1B"
"CNTN","NFASC"
"CNTN","CNTN2"
"CNTN","CNTN1"
"CSPG4","CSPG4"
"DESMOSOME","DSC1"
"DESMOSOME","DSC2"
"DESMOSOME","DSG1"
"DESMOSOME","DSG2"
"EPGN","EPGN"
"EPHA","EFNA1"
"EPHA","EFNA2"
"EPHA","EFNA3"
"EPHA","EFNA4"
"EPHA","EFNA5"
"EPHB","EFNB1"
"EPHB","EFNB2"
"EPHB","EFNB3"
"ESAM","ESAM"
"GP1BA","GP1BA"
"ICAM","ICAM1"
"ICAM","ICAM2"
"ICAM","ICAM5"
"ICOS","ICOSLG"
"ITGB2","ITGB2"
"JAM","JAM2"
"JAM","JAM3"
"JAM","F11R"
"L1CAM","L1CAM"
"LCK","LCK"
"MADCAM","MADCAM1"
"MAG","MAG"
"MHC-I","HLA-A"
"MHC-I","HLA-B"
"MHC-I","HLA-C"
"MHC-I","HLA-E"
"MHC-I","HLA-F"
"MHC-I","HLA-G"
"MHC-I","ULBP1"
"MHC-I","RAET1E"
"MHC-I","RAET1G"
"MHC-I","RAET1F"
"MHC-II","HLA-DPA1"
"MHC-II","HLA-DPB1"
"MHC-II","HLA-DQA1"
"MHC-II","HLA-DMA"
"MHC-II","HLA-DMB"
"MHC-II","HLA-DQA2"
"MHC-II","HLA-DOA"
"MHC-II","HLA-DOB"
"MHC-II","HLA-DQB1"
"MHC-II","HLA-DRA"
"MHC-II","HLA-DRB1"
"MHC-II","HLA-DRB3"
"MHC-II","HLA-DRB4"
"MHC-II","HLA-DRB5"
"MPZ","MPZ"
"MPZ","MPZL1"
"NCAM","NCAM1"
"NCAM","NCAM2"
"NECTIN","NECTIN1"
"NECTIN","NECTIN3"
"NECTIN","NECTIN2"
"NEGR","NEGR1"
"NGL","LRRC4C"
"NGL","LRRC4"
"NGL","LRRC4B"
"NOTCH","DLK1"
"NOTCH","DLL1"
"NOTCH","DLL3"
"NOTCH","DLL4"
"NOTCH","JAG1"
"NOTCH","JAG2"
"NRXN","NRXN1"
"NRXN","NRXN2"
"NRXN","NRXN3"
"OCLN","OCLN"
"PD-L1","CD274"
"PDL2","PDCD1LG2"
"PECAM1","PECAM1"
"PTPRM","PTPRM"
"PVR","PVR"
"SELL","SELL"
"SELPLG","SELPLG"
"SEMA4","SEMA4A"
"SEMA4","SEMA4D"
"SEMA4","SEMA4C"
"SEMA4","SEMA4G"
"SEMA5","SEMA5A"
"SEMA5","SEMA5B"
"SEMA6","SEMA6D"
"SEMA6","SEMA6A"
"SEMA6","SEMA6B"
"SEMA7","SEMA7A"
"SN","SIGLEC1"
"THY1","THY1"
"TIGIT","TIGIT"
"VCAM","ITGA4_ITGB1"
"VCAM","ITGA9_ITGB1"
"VCAM","ITGA4_ITGB7"
"VISTA","VSIR"
